NrCliente,Nome,Sexo,DN,CC,NIF,Telefone,Email,Password
1,"Lígia Napoleão Barrocas",F,305161200000,84540663,902426160,904400412,isabellehc_spears@outlook.com,uATuu56gsStrN44
2,"Eliseu Celeste Castelo Branco",M,176425200000,32431999,926913817,996924604,lsah_57@hotmail.com,3db3Wlysm0vY3Zx
3,"Morgana Cássia Figueira",F,768870000000,40399458,799959330,928886272,concepcion.skt@aol.com,Cjvy27dAudBpvfC
4,"Margarida Neuza Marins",F,193449600000,64774557,786597535,904170913,justine_mb_webb.8@outlook.com,vsvzciESEMvLINb
5,"Laurinda Hermígio Ramos",F,434588400000,11149975,912696983,994444394,alice.kc_oneill@yahoo.com,ncPBFzbbo14K5rK
6,"Bráulio Almerinda Toscano",M,680569200000,98601893,270240829,951866420,myrnabm.bryan_82@gmx.com,QvYRSO86RrJEk8z
7,"Norberto Gláuber Graça",M,388710000000,81717392,257338047,958345592,lora_54@gmail.com,XOIZcH6job6hFU4
8,"Evandro Bartolomeu Freiria",M,39913200000,42374448,218438287,979537118,lessie_bhp95@gmx.com,ZCwP7m5btGTIJSs
9,"Alzira Priscila Bulhões",F,1092956400000,48458901,105771613,971320505,sybilwar.42@gmx.com,Ns2F2WYH2joiehz
10,"Nádia Carlota Vilarinho",F,116809200000,15247220,360560802,973864829,ilavmg_60@gmx.com,5XKCVSu037lCwRf
